CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	ccccc	São José do Rio Preto
6/25/2023 10:14:30	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Colina-Azul/23158	580000	Residencial Colina Azul			Mais que 400 mil	3	2	200,0	Não	SUL	Residencial Colina Azul, São José do Rio Preto	
6/25/2023 10:15:18	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/24007	400000	Residencial Cidade Jardim			Mais que 400 mil	3	2	360,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:15:51	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/23501	420000	Residencial Cidade Jardim			Mais que 400 mil	>=4	6	360,0	Sim	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:16:30	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/22969	399000	Residencial Cidade Jardim			350-400 mil	3	3	260,0	Sim	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:17:14	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/22380	650000	Residencial Cidade Jardim			Mais que 400 mil	3	3	360,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:17:48	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/21760	260000	Residencial Cidade Jardim			250-300 mil	3	2	180,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:18:28	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/19203	340000	Residencial Cidade Jardim			300-350 mil	3	2	180,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:19:07	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/18412	840000	Residencial Cidade Jardim			Mais que 400 mil	3	4	360,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:19:49	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/17702	350000	Resdiencial Cidade Jardim			300-350 mil	2	2	193,0	Não	SUL	Resdiencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:20:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/16656	430000	Residencial Cidade Jardim			Mais que 400 mil	3	2	171,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:20:56	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/15620	420000	Residencial Cidade Jardim			Mais que 400 mil	3	2	360,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:21:36	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/15103	230000	Residencial Cidade Jardim			Até 250 mil	2	1	330,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:22:23	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/7313	300000	Residencial Cidade Jardim			300-350 mil	3	2	360,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:23:08	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/4979	215000	Residencial Cidade Jardim			Até 250 mil	2	2	180,0	Não	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:23:40	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Cidade-Jardim/1158	500000	Residencial Cidade Jardim			Mais que 400 mil	3	3	375,0	Sim	SUL	Residencial Cidade Jardim, São José do Rio Preto	
6/25/2023 10:24:39	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Residencial-da-Fraternidade-2/22894	170000	Residencial Fraternidade 2			Até 250 mil	2	1	200,0	Não	SUL	Residencial Fraternidade 2, São José do Rio Preto	
6/25/2023 10:25:31	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Residencial-da-Fraternidade-2/20625	350000	Residencial Fraternidade 2			300-350 mil	2	2	240,0	Não	SUL	Residencial Fraternidade 2, São José do Rio Preto	
6/25/2023 10:26:39	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Residencial-da-Fraternidade/23554	185000	Residencial Fraternidade			Até 250 mil	2	1	200,0	Não	SUL	Residencial Fraternidade, São José do Rio Preto	
