CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	Boa Vista, São José do Rio Preto	São José do Rio Preto
6/25/2023 11:57:50	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/23455	330000	Vila Diniz			300-350 mil	2	1	242	Não	CENTRO	Vila Diniz, São José do Rio Preto	
6/25/2023 11:58:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/22574	500000	Vila Diniz			Mais que 400 mil	3	5	363	Não	CENTRO	Vila Diniz, São José do Rio Preto	
6/25/2023 11:59:18	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/22507	1500000	Vila Diniz			Mais que 400 mil	3	4	290	Sim	CENTRO	Vila Diniz, São José do Rio Preto	
6/25/2023 11:59:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/21797	370000	Vila Diniz			350-400 mil	3	2	242	Não	CENTRO	Vila Diniz, São José do Rio Preto	
6/25/2023 12:00:23	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/20184	350000	Vila Diniz			300-350 mil	2	2	484	Não	CENTRO	Vila Diniz, São José do Rio Preto	
6/25/2023 12:00:50	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/19135	300000	Vila Diniz			250-300 mil	2	1	363	Não	CENTRO	Vila Diniz, São José do Rio Preto	
6/25/2023 12:01:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/17878	430000	Vila Diniz			Mais que 400 mil	3	3	384	Não	CENTRO	Vila Diniz, São José do Rio Preto	
6/25/2023 12:02:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/1904	320000	Vila Diniz			300-350 mil	2	2	120	Não	CENTRO	Vila Diniz, São José do Rio Preto	
6/25/2023 12:03:04	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/1723	600000	Vila Diniz			Mais que 400 mil	3	3	409	Não	CENTRO	Vila Diniz, São José do Rio Preto	
6/25/2023 12:04:01	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/23284	170000	Vila Moreira			Até 250 mil	2	1	200	Não	CENTRO	Vila Moreira, São José do Rio Preto	
6/25/2023 12:04:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/23118	360000	Vila Moreira			350-400 mil	2	2	363	Sim	CENTRO	Vila Moreira, São José do Rio Preto	
6/25/2023 12:05:15	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/22235	140000	Vila Moreira			Até 250 mil	2	2	121	Sim	CENTRO	Vila Moreira, São José do Rio Preto	
6/25/2023 12:05:51	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/22170	1500000	Vila Moreira			Mais que 400 mil	>=4	4	250	Sim	CENTRO	Vila Moreira, São José do Rio Preto	
6/25/2023 12:06:30	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/18306	600000	Vila Moreira			Mais que 400 mil	>=4	4	363	Sim	CENTRO	Vila Moreira, São José do Rio Preto	
6/25/2023 12:07:10	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/16766	780000	Vila Moreira			Mais que 400 mil	2	1	484	Sim	CENTRO	Vila Moreira, São José do Rio Preto	
6/25/2023 12:07:48	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/5956	420000	Vila Moreira			Mais que 400 mil	3	2	374	Não	CENTRO	Vila Moreira, São José do Rio Preto	
6/25/2023 12:08:20	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/1157	400000	Vila Moreira			350-400 mil	3	1	484	Sim	CENTRO	Vila Moreira, São José do Rio Preto	
6/25/2023 12:11:16	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/21826	320000	Vila Santa Cruz			300-350 mil	>=4	2	330	Sim	CENTRO	Vila Santa Cruz, São José do Rio Preto	
6/25/2023 12:12:00	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/19339	530000	Vila Santa Cruz			Mais que 400 mil	>=4	2	484	Não	CENTRO	Vila Santa Cruz, São José do Rio Preto	
