CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	bbbb	São José Do Rio Preto
6/24/2023 12:47:24	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Joao-Paulo-II/21517	230000	João Paulo 2			Até 250 mil	3	2	200,0	Sim	LESTE	João Paulo 2, São José Do Rio Preto	
6/24/2023 12:48:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Joao-Paulo-II/1423	250000	João Paulo 2			250-300 mil	3	2	200,0	Não	LESTE	João Paulo 2, São José Do Rio Preto	
6/24/2023 12:48:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Joao-Paulo-II/1719	180000	João Paulo 2			Até 250 mil	3	2	200,0	Não	LESTE	João Paulo 2, São José Do Rio Preto	
6/25/2023 11:58:16	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/24001	750000	Jardim Nazareth			Mais que 400 mil	>=4	4	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 11:58:54	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/24107	580000	Jardim Nazareth			Mais que 400 mil	3	4	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 11:59:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/23205	610000	Jardim Nazareth			Mais que 400 mil	3	3	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:00:01	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/23189	320000	Jardim Nazareth			300-350 mil	2	2	200,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:00:37	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/22644	580000	Jardim Nazareth			Mais que 400 mil	>=4	3	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:01:25	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/22261	480000	Jardim Nazareth			Mais que 400 mil	3	2	500,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:02:14	redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/20690	600000	Jardim Nazareth			Mais que 400 mil	3	3	400,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:02:55	redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/20541	590000	Jardim Nazareth			Mais que 400 mil	3	2	225,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:03:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/20408	320000	Jardim Nazareth			300-350 mil	2	1	260,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:04:08	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/20367	300000	Jardim Nazareth			300-350 mil	3	2	150,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:04:46	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/20271	450000	Jardim Nazareth			Mais que 400 mil	3	3	240,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:05:25	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/19460	600000	Jardim Nazareth			Mais que 400 mil	3	2	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:06:03	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/19229	540000	Jardim Nazareth			Mais que 400 mil	3	5	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:06:43	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/18182	450000	Jardim Nazareth			Mais que 400 mil	3	3	240,0	Sim	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:07:41	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/17838	400000	Jardim Nazareth			350-400 mil	2	2	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:08:17	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/17249	450000	Jardim Nazareth			Mais que 400 mil	3	2	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:09:05	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/17309	316000	Jardim Nazareth			300-350 mil	3	2	225,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:09:45	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/16998	330000	Jardim Nazareth			300-350 mil	3	2	300,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:10:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/15922	380000	Jardim Nazareth			350-400 mil	>=4	3	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
