CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	dddd	São José do Rio Preto
6/22/2023 13:23:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nunes/1226	270000	Jardim Nunes			250-300 mil	3	2	200,0		NORTE	Jardim Nunes, São José do Rio Preto	
6/22/2023 13:23:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Planalto/23134	450000	Jardim Planalto			Mais que 400 mil	3	2	275,0	Não	NORTE	Jardim Planalto, São José do Rio Preto	
6/22/2023 13:24:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Planalto/22542	220000	Jardim Planalto			Até 250 mil	3	1	200,0	Não	NORTE	Jardim Planalto, São José do Rio Preto	
6/22/2023 13:26:19	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santo-Antonio/22825	250000	Jardim Santo Antonio			250-300 mil	3	3	200,0	Não	NORTE	Jardim Santo Antonio, São José do Rio Preto	
6/22/2023 13:30:23	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santo-Antonio/22948	205000	Jardim Santo Antônio			Até 250 mil	>=4	3	200,0	Sim	NORTE	Jardim Santo Antônio, São José do Rio Preto	
6/22/2023 13:32:08	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santo-Antonio/20596	250000	Jardim Santo Antonio			250-300 mil	>=4	3	200,0	Não	NORTE	Jardim Santo Antonio, São José do Rio Preto	
6/22/2023 13:33:35	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santo-Antonio/21640	350000	Jardim Santo Antonio			350-400 mil	2	3	200,0	Não	NORTE	Jardim Santo Antonio, São José do Rio Preto	
6/22/2023 13:34:58	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santo-Antonio/13290	165000	Jardim Santo Antonio			Até 250 mil	3	2	200,0	Sim	NORTE	Jardim Santo Antonio, São José do Rio Preto	
6/22/2023 13:36:19	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santo-Antonio/4094	260000	Jardim Santo Antonio			250-300 mil	3	2	130,0	Não	NORTE	Jardim Santo Antonio, São José do Rio Preto	
6/22/2023 14:56:21	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Maria-Lucia/21288	230000	Jardim Maria Lucia			Até 250 mil	3	2	300,0	Sim	NORTE	Jardim Maria Lucia, São José do Rio Preto	
6/22/2023 14:57:12	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Maria-Lucia/11229	235000	Jardim Maria Lucia			Até 250 mil	3	3	210,0	Não	NORTE	Jardim Maria Lucia, São José do Rio Preto	
6/22/2023 14:57:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Maria-Lucia/1237	221000	Jardim Maria Lucia			Até 250 mil	>=4	3	234,0	Não	NORTE	Jardim Maria Lucia, São José do Rio Preto	
6/22/2023 15:00:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Loteamento-Parque-Nova-Esperanca/22675	249000	Parque Nova Esperança			Até 250 mil	3	5	522,0		NORTE	Parque Nova Esperança, São José do Rio Preto	
6/22/2023 15:01:16	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Alto-das-Andorinhas/14656	300000	Residencial Alto das Andorinhas			300-350 mil	3	1	200,0	Sim	NORTE	Residencial Alto das Andorinhas, São José do Rio Preto	
6/22/2023 15:02:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Alto-das-Andorinhas/19534	485000	Residencial Alto das Andorinhas			Mais que 400 mil	3	2	200,0	Não	NORTE	Residencial Alto das Andorinhas, São José do Rio Preto	
